index,MAE,MAPE,R2
LightGBM,1573627.9216075405,0.15068110222115855,0.9179199210000235
XGBoostRegressor,1604336.775,0.15416382849216462,0.9132218599319458
CatBoost,1681453.4459754806,0.1594765701932536,0.9055270751630211
RandomForest,1910753.8658921453,0.18510158943685567,0.8793101029449313
DecisionTree,2299996.9647310423,0.2174497319890817,0.8195508832624651
LinearRegression,2239888.123946623,0.25696516567342825,0.8700817714472973
ElasticNet,2398824.9769816627,0.2628989884897684,0.844300231378204
XGBoostRFRegressor,5645499.2,0.8171700239181519,0.3056320548057556
