index,MAE,MAPE,R2
LightGBM,1578610.7388108836,0.14350310310921194,0.9307729998636066
XGBoostRegressor,1624097.125,0.1473413735628128,0.9205227851867676
CatBoost,1671614.5613147581,0.1520172973705336,0.9180157011871835
RandomForest,1868818.8726997296,0.16959670429221102,0.8834451487567019
DecisionTree,2272901.3544593877,0.20052413809237674,0.8315739657931646
LinearRegression,2406075.419671148,0.25332443569120977,0.8596406136307303
ElasticNet,2515326.260813084,0.2578333027347121,0.8390294191168429
XGBoostRFRegressor,5922518.5,0.7952440023422241,0.3161696672439575
