propertyId,price,localityName,carpetArea,coveredArea,floorNumber,totalFloorNumber,bedrooms,bathrooms,ReservedParking,transactionType,furnished,ageofcons
76051595,35000000,Magarpatta,2000,2350,5,11,4,4,True,Resale,Semi-Furnished,5 to 10 years
75706679,4500000,Phase 2 Hinjewadi Rajiv Gandhi Infotech Park,471,654,9,12,1,1,True,Resale,Unfurnished,5 to 10 years
75682725,18500000,Amanora Park Town,1321,1835,5,8,3,3,True,Resale,Unfurnished,Less than 5 years
74595981,8900000,Kharadi,800,1080,14,15,2,2,True,Resale,Semi-Furnished,New Construction
71987597,7500000,Sinhgad Road,780,972,10,22,2,2,True,Resale,Unfurnished,5 to 10 years
73192425,2400000,Wagholi,415,561,3,7,2,1,True,Resale,Semi-Furnished,Less than 5 years
75701781,7500000,"Chinchwad, Pimpri Chinchwad",792,1100,3,8,2,2,True,Resale,Unfurnished,Less than 5 years
75695953,3800000,Gahunje,612,850,9,13,2,2,True,Resale,Semi-Furnished,Less than 5 years
74057841,14000000,Wakad,1057,1300,5,11,3,3,True,Resale,Unfurnished,5 to 10 years
71440243,12000000,Kharadi,950,1240,10,14,3,3,True,New Property,Semi-Furnished,Under Construction
74484491,4500000,Wagholi,488,650,7,10,2,2,True,Resale,Semi-Furnished,Less than 5 years
75705971,6000000,Handewadi,756,1050,10,11,2,2,True,Resale,Unfurnished,Less than 5 years
75658275,12500000,Hadapsar,846,1175,7,9,2,2,True,Resale,Furnished,10 to 15 years
75700123,5000000,Dhayari,685,952,2,12,1,1,False,Resale,Unfurnished,Less than 5 years
72376723,22352400,Pashan,1219,1585,2,7,3,3,True,New Property,Unfurnished,Less than 5 years
75883859,69673000,Shivajinagar,2587,3017,10,19,4,4,True,New Property,Unfurnished,Under Construction
75666649,4500000,Moshi,612,850,3,11,2,2,True,Resale,Unfurnished,Less than 5 years
74340101,12875000,Tathawade Pimpri Chinchwad,1350,1750,14,25,4,4,True,New Property,Semi-Furnished,Under Construction
45827785,5120000,"Punawale, Pimpri Chinchwad",1000,1032,4,11,2,2,True,New Property,Unfurnished,Under Construction
64138147,7600000,Spine Road,740,1119,4,12,2,2,True,Resale,Unfurnished,New Construction
70267719,15300000,Kalyani Nagar,1120,1550,12,25,3,3,True,New Property,Unfurnished,Under Construction
75695827,3900000,Hinjewadi,468,650,2,15,1,2,True,Resale,Semi-Furnished,Less than 5 years
74662335,15400000,NIBM Road,858,1225,9,13,3,3,True,Resale,Unfurnished,Less than 5 years
75673763,5500000,"Punawale, Pimpri Chinchwad",727,1010,6,11,2,2,True,Resale,Unfurnished,Less than 5 years
75404303,20925000,Kharadi,1567,2150,12,18,4,4,True,New Property,Semi-Furnished,Under Construction
