id,url
20025192,2-BHK-908-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423230303235313932
20048972,2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Chinchwad-in-Pune&id=4d423230303438393732
20115517,4-BHK-4100-Sq-ft-Multistorey-Apartment-FOR-Sale-Kalyani-Nagar-in-Pune&id=4d423230313135353137
20121126,2-BHK-852-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambegaon-in-Pune&id=4d423230313231313236
20170505,3-BHK-2246-Sq-ft-Multistorey-Apartment-FOR-Sale-Baner-in-Pune&id=4d423230313730353035
20178902,3-BHK-2600-Sq-ft-Multistorey-Apartment-FOR-Sale-Baner-road-in-Pune&id=4d423230313738393032
20202271,3-BHK-1380-Sq-ft-Multistorey-Apartment-FOR-Sale-Undri-in-Pune&id=4d423230323032323731
20274783,2-BHK-745-Sq-ft-Multistorey-Apartment-FOR-Sale-Uruli-Kanchan-in-Pune&id=4d423230323734373833
20288737,2-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Sale-Kharadi-in-Pune&id=4d423230323838373337
20311928,1-BHK-640-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423230333131393238
20357984,3-BHK-1065-Sq-ft-Multistorey-Apartment-FOR-Sale-Manjri-in-Pune&id=4d423230333537393834
20380259,2-BHK-940-Sq-ft-Multistorey-Apartment-FOR-Sale-Chakan-in-Pune&id=4d423230333830323539
20411685,2-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Uttam-Nagar-in-Pune&id=4d423230343131363835
20475873,1-BHK-566-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423230343735383733
20529957,2-BHK-985-Sq-ft-Multistorey-Apartment-FOR-Sale-Wakad-in-Pune&id=4d423230353239393537
20553009,1-BHK-502-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423230353533303039
20710788,2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Sale-Someshwarwadi-in-Pune&id=4d423230373130373838
20722410,1-BHK-648-Sq-ft-Multistorey-Apartment-FOR-Sale-Ravet-in-Pune&id=4d423230373232343130
20868993,3-BHK-1240-Sq-ft-Multistorey-Apartment-FOR-Sale-Pimple-Saudagar-in-Pune&id=4d423230383638393933
20931678,2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Phursungi-in-Pune&id=4d423230393331363738
20955378,2-BHK-877-Sq-ft-Multistorey-Apartment-FOR-Sale-Talegaon-Dhamdhere-in-Pune&id=4d423230393535333738
20956717,2-BHK-1034-Sq-ft-Multistorey-Apartment-FOR-Sale-Moshi-gaon-in-Pune&id=4d423230393536373137
20991672,1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-Sinhgad-Road-in-Pune&id=4d423230393931363732
21168059,1-BHK-340-Sq-ft-Multistorey-Apartment-FOR-Sale-Shewalewadi-in-Pune&id=4d423231313638303539
21481361,1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Sukhsagar-Nagar-in-Pune&id=4d423231343831333631
21582847,2-BHK-955-Sq-ft-Multistorey-Apartment-FOR-Sale-Tathawade-in-Pune&id=4d423231353832383437
21642919,2-BHK-948-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhanori-Lohegaon-Road-in-Pune&id=4d423231363432393139
21718809,1-BHK-504-Sq-ft-Multistorey-Apartment-FOR-Sale-Narhe-in-Pune&id=4d423231373138383039
21720347,2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423231373230333437
21731943,3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Wanowrie-in-Pune&id=4d423231373331393433
21733813,1-BHK-560-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423231373333383133
21759333,1-BHK-585-Sq-ft-Multistorey-Apartment-FOR-Sale-Narhe-in-Pune&id=4d423231373539333333
21816495,3-BHK-1670-Sq-ft-Multistorey-Apartment-FOR-Sale-Kharadi-in-Pune&id=4d423231383136343935
21906221,4-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423231393036323231
21968391,3-BHK-1850-Sq-ft-Multistorey-Apartment-FOR-Sale-Wakad-in-Pune&id=4d423231393638333931
21969095,1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Bakori-in-Pune&id=4d423231393639303935
21984209,2-BHK-917-Sq-ft-Multistorey-Apartment-FOR-Sale-Pimpri-in-Pune&id=4d423231393834323039
22024855,1-BHK-624-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambegaon-in-Pune&id=4d423232303234383535
22096921,1-BHK-663-Sq-ft-Multistorey-Apartment-FOR-Sale-Solapur-Road-in-Pune&id=4d423232303936393231
22245859,3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-Moshi-in-Pune&id=4d423232323435383539
22279391,1-BHK-632-Sq-ft-Multistorey-Apartment-FOR-Sale-Mahadeonagar-in-Pune&id=4d423232323739333931
22334833,1-BHK-628-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423232333334383333
22380533,4-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Warje-in-Pune&id=4d423232333830353333
22555939,2-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Undri-in-Pune&id=4d423232353535393339
22654085,2-BHK-1037-Sq-ft-Multistorey-Apartment-FOR-Sale-Pimple-Saudagar-in-Pune&id=4d423232363534303835
22864361,1-BHK-660-Sq-ft-Multistorey-Apartment-FOR-Sale-Pisoli-in-Pune&id=4d423232383634333631
22875409,1-BHK-575-Sq-ft-Multistorey-Apartment-FOR-Sale-Swapna-Nagari-in-Pune&id=4d423232383735343039
22932987,3-BHK-1509-Sq-ft-Multistorey-Apartment-FOR-Sale-Undri-in-Pune&id=4d423232393332393837
23069543,2-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423233303639353433
23077855,1-BHK-576-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423233303737383535
23285991,2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423233323835393931
23354857,2-BHK-953-Sq-ft-Multistorey-Apartment-FOR-Sale-Guru-Nanak-Nagar-in-Pune&id=4d423233333534383537
23393381,3-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Wakad-in-Pune&id=4d423233333933333831
23444875,1-BHK-454-Sq-ft-Multistorey-Apartment-FOR-Sale-Chakan-in-Pune&id=4d423233343434383735
23523521,2-BHK-640-Sq-ft-Multistorey-Apartment-FOR-Sale-Gokul-Nagar-Dhanori-in-Pune&id=4d423233353233353231
23546377,2-BHK-929-Sq-ft-Multistorey-Apartment-FOR-Sale-Chakan-in-Pune&id=4d423233353436333737
23703829,3-BHK-1670-Sq-ft-Multistorey-Apartment-FOR-Sale-Hinjewadi-in-Pune&id=4d423233373033383239
23710145,1-BHK-655-Sq-ft-Multistorey-Apartment-FOR-Sale-Manjri-in-Pune&id=4d423233373130313435
23780909,2-BHK-1125-Sq-ft-Multistorey-Apartment-FOR-Sale-Wakad-in-Pune&id=4d423233373830393039
23793803,2-BHK-838-Sq-ft-Multistorey-Apartment-FOR-Sale-Alandi-in-Pune&id=4d423233373933383033
23793999,2-BHK-958-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423233373933393939
23804993,2-BHK-848-Sq-ft-Multistorey-Apartment-FOR-Sale-Moshi-in-Pune&id=4d423233383034393933
23856293,1-BHK-605-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambegaon-Pathar-Road-in-Pune&id=4d423233383536323933
23877099,3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Sale-Talegaon-Dabhade-in-Pune&id=4d423233383737303939
23993767,1-BHK-560-Sq-ft-Multistorey-Apartment-FOR-Sale-Phursungi-in-Pune&id=4d423233393933373637
24013061,1-BHK-671-Sq-ft-Multistorey-Apartment-FOR-Sale-Pisoli-in-Pune&id=4d423234303133303631
24101267,1-BHK-615-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423234313031323637
24189491,2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Wanowrie-in-Pune&id=4d423234313839343931
24474847,1-BHK-535-Sq-ft-Multistorey-Apartment-FOR-Sale-Talegaon-Dabhade-in-Pune&id=4d423234343734383437
24641325,1-BHK-465-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhayari-in-Pune&id=4d423234363431333235
24713909,1-BHK-551-Sq-ft-Multistorey-Apartment-FOR-Sale-Karanjawane-Wasti-in-Pune&id=4d423234373133393039
24738361,1-BHK-675-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-Road-in-Pune&id=4d423234373338333631
24791705,2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Chakan-in-Pune&id=4d423234373931373035
24926613,1-BHK-570-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423234393236363133
25076029,1-BHK-621-Sq-ft-Multistorey-Apartment-FOR-Sale-Yewale-Wadi-in-Pune&id=4d423235303736303239
25083857,1-BHK-567-Sq-ft-Multistorey-Apartment-FOR-Sale-Munjaba-Vasti-in-Pune&id=4d423235303833383537
25096927,2-BHK-925-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423235303936393237
25217939,3-BHK-1460-Sq-ft-Multistorey-Apartment-FOR-Sale-Talegaon-Dabhade-in-Pune&id=4d423235323137393339
25225477,1-BHK-680-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423235323235343737
25361367,2-BHK-1020-Sq-ft-Multistorey-Apartment-FOR-Sale-Azad-Nagar-Wanowrie-in-Pune&id=4d423235333631333637
25369257,1-BHK-530-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondhwa-in-Pune&id=4d423235333639323537
25373489,1-BHK-795-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423235333733343839
25417019,1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Kasarwadi-in-Pune&id=4d423235343137303139
25438073,2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423235343338303733
25468229,2-BHK-852-Sq-ft-Multistorey-Apartment-FOR-Sale-Chakan-in-Pune&id=4d423235343638323239
25473905,1-BHK-660-Sq-ft-Multistorey-Apartment-FOR-Sale-Mahatma-Society-in-Pune&id=4d423235343733393035
25548361,2-BHK-1024-Sq-ft-Multistorey-Apartment-FOR-Sale-Punawale-in-Pune&id=4d423235353438333631
